   5.5000000e+01   3.1166667e+00  -5.2941272e+00
   4.4000000e+01   3.1166667e+00  -4.2839794e+00
   3.9000000e+01   3.1166667e+00  -4.2881188e+00
   4.5000000e+01   3.1166667e+00  -5.1643998e+00
   5.5000000e+01   2.7625000e+00  -5.4870233e+00
   3.3000000e+01   2.7625000e+00  -4.5709023e+00
   4.3000000e+01   2.7625000e+00  -5.2390469e+00
   3.8000000e+01   2.7625000e+00  -4.4459263e+00
   4.5000000e+01   2.7625000e+00  -4.1318486e+00
   5.1000000e+01   3.7111111e+00  -3.8452953e+00
   6.3000000e+01   3.7111111e+00  -3.5974529e+00
   3.5000000e+01   3.7111111e+00  -3.1913712e+00
   5.3000000e+01   2.8777778e+00  -4.5876426e+00
   6.9000000e+01   2.9000000e+00  -6.0225392e+00
   6.0000000e+01   2.9666667e+00  -4.1782903e+00
   5.4000000e+01   2.8200000e+00  -5.2614283e+00
   6.7000000e+01   2.8200000e+00  -5.5173595e+00
   2.1000000e+01   2.6000000e+00  -4.0507949e+00
   6.3000000e+01   2.6000000e+00  -4.8321907e+00
   1.4000000e+01   2.6000000e+00  -4.3650321e+00
   4.3000000e+01   2.6000000e+00  -5.3580732e+00
   4.7000000e+01   2.6000000e+00  -5.7186381e+00
   6.8000000e+01   3.4000000e+00  -4.2363595e+00
   6.1000000e+01   3.4000000e+00  -4.9040388e+00
   6.0000000e+01   3.4000000e+00  -5.1881450e+00
   5.5000000e+01   3.6400000e+00  -3.8061630e+00
   6.6000000e+01   3.6400000e+00  -4.7974546e+00
   3.8000000e+01   3.6400000e+00  -3.7663897e+00
   5.6000000e+01   4.0000000e+00  -3.5761108e+00
   6.7000000e+01   4.0000000e+00  -4.1716096e+00
   3.9000000e+01   4.0000000e+00  -2.8319821e+00
   5.6000000e+01   2.7333333e+00  -4.7899277e+00
   6.6000000e+01   2.7333333e+00  -5.6038108e+00
   4.0000000e+01   2.7333333e+00  -4.0252598e+00
   6.6000000e+01   2.7666667e+00  -5.4286270e+00
   4.1000000e+01   2.5800000e+00  -4.8644302e+00
   9.0000000e+00   2.5800000e+00  -4.3869027e+00
   6.0000000e+01   2.5800000e+00  -5.1189113e+00
   1.2000000e+01   2.5800000e+00  -4.0708024e+00
   3.0000000e+01   2.5800000e+00  -4.5455299e+00
